음식,에너지,회복,순환,정화
감,0.6665081,0.6414516,0.7086657,0.75327134
밤,0.6335279,0.70416176,0.78481287,0.67335594
김,0.62195873,0.6552704,0.7394794,0.63699335
미나리,0.60155606,0.6742375,0.72246206,0.75955296
토마토,0.7079439,0.7185629,0.70424557,0.7160748
참외,0.65522486,0.6808627,0.7456325,0.6819114
딸기,0.6419988,0.6604729,0.67805696,0.6491889
미역,0.6154734,0.68491405,0.7305759,0.7564886
석류,0.677111,0.6731224,0.7573559,0.7332446
귤,0.6302984,0.64492106,0.69598496,0.71631956
고구마,0.65931255,0.70154345,0.7722834,0.6833093
배,0.6530976,0.6953705,0.75307256,0.7247946
마늘,0.6490474,0.71991986,0.7439302,0.70520437
포도,0.635322,0.66600186,0.7619705,0.73335844
사과,0.63628995,0.7043054,0.7315707,0.7355597
깻잎,0.61495626,0.66339993,0.7051143,0.73393923
유자,0.5225465,0.58844197,0.59750944,0.5655426
수박,0.68514526,0.69224656,0.8148809,0.71561503
천도 복숭아,0.7126738,0.6932968,0.6871684,0.717408
살구,0.65297973,0.6661116,0.7559206,0.7208903
모과,0.6006137,0.69891405,0.69974583,0.71843106
앵두,0.5952071,0.62321,0.6255603,0.66921604
된장,0.6499744,0.7235565,0.7916015,0.6967094
김치,0.56766343,0.65477765,0.70058155,0.689439
우엉,0.6701245,0.70572484,0.7615373,0.7555132
연근,0.6525827,0.7345056,0.7690422,0.711429
오징어,0.6380803,0.65458775,0.73915654,0.7075076
상추,0.6473372,0.6679219,0.68128824,0.7373637
콩나물,0.56741,0.6443063,0.692459,0.6667167
무,0.6375722,0.6954918,0.7470828,0.7110249
옥수수,0.6190492,0.6572168,0.73557925,0.752357
감자,0.59571046,0.622822,0.72986984,0.69743925
쑥,0.62007165,0.6819056,0.71523666,0.6932787
어묵,0.6653203,0.64660037,0.7567533,0.6520219
검은콩,0.6313149,0.66680026,0.7242626,0.6513715
풋고추,0.60965073,0.66202056,0.71813184,0.66358566
새싹쌈,0.7078398,0.66409194,0.7157452,0.6559113
참기름,0.6161161,0.64192414,0.7227428,0.71983963
간장,0.64814466,0.61771107,0.72756934,0.6834179
고추장,0.64101124,0.67430925,0.7606373,0.73714036
